,document,expertise
323,Develop and track core metrics across all Google Cloud products and including overall satisfaction and customer effort and net promoter score (NPS) and partner satisfaction and etc. Build and maintain reports and dashboards and metrics to monitor the performance of the program Apply quantitative analysis and data mining and data presentation to provide meaningful business insights to stakeholders (with support from data scientists) Provide insights that influence and drive actions/improvements across the customer journey Demonstrate ability to manage risks at the operational level to ensure smooth execution of survey launches,"Demonstrated ability to build strong relationships at all levels as a crossfunctional influencer, Ability to consistently deliver quality outputs in a high paced and dynamic environment and work through ambiguity and with an ability to work to tight deadlines"
324,Implement creative ways to improve our customer relationships and tailor and share online marketing strategy suggestions and and promote other Google products. Communicate with customers proactively and via phone and email. Provide strategic advice and help our advertisers get the best experience from their advertising investment by working in a consultative role with customers. Deliver against strategic goals consistently and while prioritizing and delivering outstanding customer sales experience to Google's advertisers.,Experience with leading and motivating others
325,Develop and manage partnership strategies to reach Google scale and efficiency. Work with and influence cross-functional teams and partners to build and launch new products. Lead teams to develop and structure terms to present to executive management. Represent Google externally and manage strategic relationships to maximize value for both parties.,Proven ability to handle ambiguity and to work collaboratively and crossfunctionally
326,Build a global quality assurance program and driving consistency and continuous improvement across workflows/processes. Improve key performance indicators by evolving the quality assurance system to better measure and identify improvement opportunities in agent performance. Build relationships with senior members of cross-functional organizations to represent what agent skills drive strong performance. Work alongside YouTube’s online products/services teams to prepare for product launches and keep pace with product and policy changes. Leverage quality management principles like Six Sigma and Total Quality Management and and the Toyota Production System.,Proven ability to work with our partners (Vendor Operations and vendor agents) in a positive and productive way that encourages collaboration
327,Collaborate and consult with agencies with the goal of extending relationships and increasing our client and agency base and optimizing their advertising strategy. Deliver consistently against assigned targets on new and existing business and while delivering an outstanding business experience to Google's managed agency partners. Build compelling and data-driven long term agency plans leveraging market insights and research. Synchronize agency plans with our agency pod and internal cross-functional teams to further develop our agencies. Be an ongoing trusted thought partner for the Management Team regarding strategic initiatives and agency-level planning. Analyze data trends and client performance and develop solid strategic business plans and and prepare and conduct strategic pitches and business presentations.,"Experience in improving business relationships and successfully developing new business opportunities, Demonstrated ability to think strategically about complex issues and develop recommendations and action plans"
328,Correspond with agencies and clients on high priority activity using your stakeholder management capability. Go above and beyond service excellence to showcase clients' business value and encourage future growth of our partnerships. Improve and educate clients constantly on the latest brand products and betas and insights to keep them up-to-date on opportunities across our solutions. Use your prioritization and time management skills to balance urgent work with important clients in an often high pressure environment. Deliver service excellence and key performance indicators (KPIs) fulfillment for complex and continuously on and flighted activity.,"Experience in strategic and tactical digital advertising, Interest in developing customer partnerships, Presentation and influencing and communication skills"
329,Excel at product policy enforcement on known spam and risk related patterns and manual investigations Identify new or emerging patterns and build operational processes to proactively handle them Build scale and efficiency through automation and intelligence and drive workflow improvements Collaborate with cross-functional groups such as Engineering and Sales and and Legal to increase automation and update policies and fix product loopholes and and provide a better online experience for our users Work with large and unstructured data sets to get actionable insights,"Experience with JavaScript and SQL and Python or web development, Experience in data analysis and report generation and a solid understanding of how the Internet works, Demonstrated analytical skills and excellent oral and written communication skills, Ability to read and write and speak an Indic language (Hindi/Bengali/Telugu and etc.)"
330,Manage opportunities through the entire cycle simultaneously and working with cross-functional teams as necessary and and serve as the primary customer contact for all adoption-related activities. Deliver against assigned strategic goals while prioritizing an outstanding customer experience to customers and prospects. Drive business development and forecast accurately and achieve strategic goals by leading customers through the entire business cycle. Work with our Customer Engineers and trusted Google Cloud Partners as a critical member of the sales team to maximize business results and cultivate opportunities with small and medium businesses (SMB).,"years of experience selling IaaS or PaaS with a demonstrated track record in reaching and exceeding sales goals in the technology industry, Demonstrable ability to speak credibly about platform and infrastructureasaservice"
332,Help partners in their day to day challenges by delivering innovative and scalable solutions to their issues and and assist them in the adoption of new products to develop their long term success. Troubleshoot technical issues and escalate bug reports and proactively identify customer needs and work with Product Management and Engineering to improve the product. Develop and deliver customized technical trainings and documentation to accommodate the team’s product knowledge needs. Find process or business improvement opportunities and build your own tools to test them and in order to help the sales teams qualify needs and pitch and and implement technical solutions.,"Experience with new app and web technologies, Experience designing technical solutions to meet customer requirements, Experience in a quick turnaround support environment, Knowledge of mobile technologies and digital advertising, Strong analytical and problemsolving skills"
334,Build and maintain executive relationships with customers and influence long-term strategic direction and and act as a trusted advisor. Lead account strategy in generating and developing business growth opportunities and working collaboratively with Inside Sales Representatives and Customer Engineers and and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers. Drive business development and forecast accurately and achieve strategic goals by leading customers through the entire business cycle. Explore and understand complex customer requirements on both a business and technical level; Engage and educate and and ensure satisfaction of the installed base. Manage multiple opportunities through the entire cycle simultaneously and working with cross-functional teams as necessary and and serve as the primary customer contact for all adoption-related activities.,"years of experience selling Platform/InfrastructureasaService (PaaS/IaaS) with experience working towards strategic business goals in the technology industry, Ability to build influential relationships and deliver results in a crossfunctional environment, Ability to effectively operate with flexibility in a fastpaced and dynamic team environment"
335,Define customer-centric and industry-specific use cases for Google to target via service partners; build ecosystem of service partners for Google’s Cloud Infrastructure offerings and Google SaaS offerings. Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products; develop Google reference architectures and solutions. Commit partner resources to product sales and implementation for end customers. Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google’s Cloud Platform technologies to partners and to help them scale our joint business. Manage business performance of partners and map partner capabilities and priorities with Google strategies to achieve strategic business goals. Define and manage Google’s approach to partnership strategy with stakeholders in Partner Programs and Product Management and Engineering and Sales and and Marketing; support regional engagement with strategic global and regional partners.,"Knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs), Knowledge of the Cloud ecosystem"
336,Investigate abuse and operational trends and or useful ML features based on big data sets. Optimize process workflows with production-level pipelines and documentation. Analyze and prioritize various data feeds to reveal top issues and recommend and influence action and liaise with cross-functional teams and stakeholders (Engineering and Policy and Sales and Legal and etc.) to drive the resolution of challenges. Design and prototype dashboards to provide insights at scale that meet the needs of management. Communicate insights on a regular basis to the appropriate level of management.,Knowledge of webresearch and online advertising and fraud detection and ecommerce
337,Cultivate and develop relationships with a set of strategic accounts. Connect with key stakeholders within these accounts. Build and implement strategies to drive business growth. Develop strategic agreements and leveraging the partner ecosystem. Engage and coordinate internal groups as well as partners to meet transformation goals for key stakeholders. Increase the level of visibility of these accounts in the market.,"Frontline sales experience, Demonstrated understanding of the entire suite of Google Cloud products, Understanding of cloud computing customer business drivers, Ability to isolate issues and gather necessary resources to meet customer needs, Effective pitching and presentation skills"
338,Develop and update quarterly business plans in a fast-paced and rapidly evolving industry. Use your understanding of industry/client objectives to identify growth strategies beyond your existing book. Create opportunities for our clients by presenting Google products with structure and thoughtful measurement solutions and compelling supporting data. Up-level Google’s standing in the industry continually by identifying and participating in opportunities for best practice case studies and public speaking events and press. Develop and maintain senior relationships to serve as a trusted partner to our customers.,"Knowledge of and established relationships with industry advertisers and agencies and and/or clients, Strong interpersonal and relationship building skills conducive to team development, Willingness and flexibility to travel frequently"
339,Build and grow a Google Cloud Platform (GCP)-focused SMB Sales team. Optimize the team for scale and business growth by acquiring new customers and increasing spend from existing GCP customers. Test and iterate on new approaches to grow spend in this segment and working closely with our partner team and our vendors and as well as working on programmatic initiatives to increase business growth. Develop and implement best practices and ensuring the team is up to date with the newest trends and improve team skills through development and training.,"Experience in an SMB sales role in an online and inside sales capacity, Ability to effectively operate with high energy and flexibility in a fastpaced and dynamic team environment"
340,Build and maintain executive relationships with customers and influence long-term strategic direction and and act as a trusted advisor. Lead account strategy in generating and developing business growth opportunities and working collaboratively with Inside Sales Representatives and Customer Engineers and and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers. Drive business development and forecast accurately and achieve strategic goals by leading customers through the entire business cycle. Explore and understand complex customer requirements on both a business and technical level; Engage and educate and and ensure satisfaction of the installed base. Manage multiple opportunities through the entire cycle simultaneously and working with cross-functional teams as necessary and and serve as the primary customer contact for all adoption-related activities.,"years of experience selling Platform/InfrastructureasaService (PaaS/IaaS) with experience working towards strategic business goals in the technology industry, Ability to build influential relationships and deliver results in a crossfunctional environment, Ability to effectively operate with flexibility in a fastpaced and dynamic team environment"
341,Collaborate and consult with customers with the goal of extending relationships and increasing the usage of DoubleClick solutions and specifically focusing on product feature adoption. Develop a thorough understanding of client needs and corresponding organizational best practices across a wide range of industries (agencies and clients). Develop strategic account plans for customers within the portfolio and identifying growth opportunities and while also collaborating closely with internal stakeholders. Create relationships within customer organizations at all levels and including direct and indirect users of the product and usage decision-makers. Act as the main point of contact for customers around all key areas of account management (training and product enhancement and global/regional campaigns and etc) and lead cross-functional efforts to identify and solve roadblocks.,"Experience in working with a strategic and analytical sales approach and with a track record of building lasting customer relationships, Wellorganized and analytical and capable of handling multiple ad hoc requests simultaneously, Excellent organizational and analytical and influencing and presentation skills"
342,Work collaboratively with a team to drive growth with existing customers Develop high-level relationships to serve as a trusted consultant with major customers to optimize their advertising investments Generate business plans to define your strategies and tactics Manage multiple cross-product opportunities and projects,"Strong analytical and problem solving skills, Proven success in business development and client relationship and servicing skills, Demonstrated ability to think strategically about complex issues and develop recommendations and action plans"
344,Work as part of the Sales team to identify and qualify Platform opportunities and determine if Google Cloud Platform is right for them. Identify business and technical requirements and conduct full technical discovery and architect client solutions to meet gathered requirements. Take responsibility for leading the technical project including such activities as technology advocacy and supporting bid responses and product and solution briefings and proof-of-concept work and and the coordination of supporting technical resources. Prepare and deliver product messaging in an effort to highlight Google Cloud Platform value proposition using techniques to include whiteboard and slide presentations and product demonstrations and white papers and trial management and RFI response documents. Make recommendations on integration strategies and enterprise architectures and platforms and application infrastructure required to successfully implement a complete solution providing best practice advice to customers to optimize Google Cloud Platform effectiveness. Travel regularly in EMEA for meetings and technical reviews and onsite delivery activities.,"Experience with Big Data and PlatformasaService (PaaS) and InfrastructureasaService (IaaS) technologies, Experience with SAP HANA and including sizing and disaster recovery and multi tenancy concepts and scaleout architectures and data tiering, Understanding of SAP cloud offerings with focus on HEC and SAP Cloud Platform. Ability to quickly learn and understand and work with new emerging technologies and methodologies and and solutions in the cloud technology space"
345,Be a thought leader in Google's video solutions. Drive transformational solution sales through the leveraging of global best practice solutions and creation of new '1-to-many' solutions (including complementing local relevant content and competition). Develop and leverage and deploy Brand solutions with the objective to upscale sales teams to approach clients with large and multi-faceted media propositions. Ensure competitive perspectives and differentiated value propositions generated through market-relevant insights. Engage with Marketing to drive relevant industry research and establish Brand metrics. Support sales teams by engaging directly with clients and agencies as required to drive YouTube understanding and adoption.,"Proven and deep brand building expertise and capabilities, Analytical acumen and strategic thought leadership and paired with agile mind set and cando attitude, Excellent communication and influencing and strong relationshipbuilding skills"
346,Implement creative ways to improve our customer relationships. Tailor and share online marketing strategy suggestions and and promote other Google products. Communicate with customers and via phone and email. Provide strategic advice and help our advertisers to get the best results from their advertising investment by working with them in a consultative role. Share and collaborate with Specialists and Engineers and Product team members on new feature developments and leveraging your direct relationships with small and medium business advertisers.,Experience in leading and motivating others and with the ability to work well with your team
347,Manage the mobile search book of business of an assigned specific area and from planning and presenting and to reporting. Identify new opportunities to increase customer marketing investment efficiently on mobile. Develop high-level relationships to serve as a mobile trusted consultant with major customers to optimize their advertising growth. Simplify and package Google mobile advertising offering for sales and customers and serve as a liaison with vertical teams and customers regarding new beta tests and product launches. Support product strategies working with product and global team and providing them with feedback and formulating product asks relevant to in-market needs.,"Experience working and advising customers on their mobile strategy, Effective strategic and analytical capabilities and with creativity and readiness to rollup sleeves to drive success/impact"
348,Define customer-centric and industry-specific use cases for Google to target via service partners; build ecosystem of service partners for Google’s cloud infrastructure offerings and Google SaaS offerings. Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions; commit to partner resources to product sales and implement for end customers. Help partners grow their Google practice and product portfolio through joint development of solutions and services; develop and provide custom presentations on Google Cloud Platform technologies to partners to help them scale our joint business. Advocate Google’s strategy in key industry events and shape industry agenda and standards. Shape Google’s approach to partnership strategy with stakeholders in Partner Programs and Product Management and Engineering and Sales and Marketing; support regional engagement with strategic global and regional partners.,"Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs). Knowledge of the cloud ecosystem, Ability to work in a crossfunctional organization"
349,Meet business growth targets and maximize the adoption and usage of DoubleClick Search across your customer portfolio Lead presentations and quarterly business reviews to key accounts for DoubleClick Search. Identify potential opportunities for new customers and structure proposals and working with internal support functions and and negotiate agreements for DoubleClick Search. Create relationships within customer organizations at all levels including senior executives and direct and indirect users of DoubleClick Search and and usage/repurchase decision makers for DoubleClick Search. Act as first point of contact for customers around all key areas (training and product enhancement and global/regional adoption) and lead cross-functional effort to identify and solve any issues for DoubleClick Search.,Experience in building relationships at various levels
350,Develop solutions for client business and marketing challenges while also uncovering opportunities; Collaborate with Sales and Sales Operations to innovate and develop scalable solutions cross industry challenges. Act as an industry advocate and analyst to surface key industry trends; Consult with clients on opportunities associated with trends and potential business impact. Advise client partners on methodologies for marketing and media analytics and measurement and attribution; Help customers navigate industry standards and alternatives. Seek out key decision makers and challenge the status quo and influence decisions; Foster client relationships with others in the organization including marketing/advertising and analytics and and corporate strategy and among others. Partner with internal and external product and research and data and measurement teams to bring full analytical capabilities to customers.,"Demonstrated experience with spreadsheet software and presentation applications, Ability to analyze large datasets with the goal of delivering actionable insights"
351,Drive performance for clients through implementation and consulting and thereby growing Media Buying Solutions and account performance. Develop consulting best practices with a focus for creating opportunities. Utilize a strong consultative approach with focus on building lasting partnerships with key clients. Work closely with the leadership team to identify and engage and acquire new business and significant product growth across the region. Coordinate cross-functional communications and planning with Media Platforms services and Product Management and Marketing and Large Customer Sales and Agency Teams. Build and maintain strong thought leadership regarding DoubleClick Digital Marketing (DDM) across your allocated portfolio of our clients and prospects.,Experience consulting with CLevel customers
352,Support the strategy and activation of partnerships and media agreements and in partnership with Advertiser and Agency teams. Lead collaborations across Legal and Compliance and Go-to-Market teams to drive approval and formalization of agreement structures. Work with the Sales Finance team to support agreement structures and frameworks. Oversee display and video incentive program support and approvals and including business planning and agreement reporting and overall adherence to global policies. Utilize a wide variety of measurement tools to incorporate insights and visualizations into presentations. Acquire and share knowledge of the advertising ecosystem and specifically with respect to agreements and strategic partnerships and and act as an expert in the competitive landscape.,"Knowledge of the advertising agency landscape and curiosity about the digital advertising world, Demonstrable leadership in a diverse team environment with effective networking and influencing and interpersonal skills. Ability to work well across various functions, Organized and detailoriented and able to multitask and prioritize and work to timelines in a fastpaced and dynamic environment, Excellent analytical skills and including the ability to see granular as well as bigpicture challenges"
353,Manage trusted relationships with clients and develop a thorough understanding of their business challenges. Leverage on this strategic partnership to add value to our advertisers' business and hence grow their accounts. Implement creative ways to improve our relationships with our clients and grow client accounts. Persuade clients of the wider strategic opportunities in relation to AdWords. Improve clients' campaign performance and business growth.,"Interest in developing customer partnerships, Detail oriented with the ability to prioritize, Selfstarter and selfmotivated and and capable of seeking additional opportunities"
354,Establish credibility with executives and serve as a trusted consultant to optimize and expand their advertising investment. Manage a portfolio of businesses by understanding growth drivers and identifying opportunity for growth and managing risks and creating multi-quarter plans for achievement. Prioritize and deliver outstanding customer experience to Google's advertisers. Coach peers proactively in the organization to create skill lift that drives client growth and contributes to overall team success. Generate business plans to define strategies and tactics. Build an understanding of client business models and define business goals and create key strategies and work towards strategic goals.,"Experience in a sales role and with a demonstrated ability to build compelling narratives and utilize storytelling to influence, Experience working with clients and influencing Clevel stakeholders, Ability to leverage your business acumen to strategically assess and help solve client needs"
355,Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle. Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams. Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud. Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem.,Ability to collaborate and build relationships with individuals of varying levels of experience and department functions
356,Manage business performance of partners and develop strategies to work towards business growth goals and help partners grow their Google practice and product portfolio through joint development of sales plans and Google services. Work closely and support teams in crafting and developing programs to grow the market for G Suite and Google Cloud Platform business. Partner with the SMB Product Support Manager to define and execute sales strategies and including lead routing and partner sales trainings and marketing and other growth initiatives. Manage reporting and metrics and drive process improvements to enhance operational efficiency and develop quarterly business reviews for partners. Resolve business and operational issues with our partners in select markets to ensure healthy and vibrant and and growing ecosystem of partners.,"Experience in SoftwareasaService (SaaS) or cloud IT infrastructure sales. Experience working towards strategic business goals and familiarity with sales reporting tools, Excellent attention to detail and entrepreneurial and creative and persistent and highly collaborative and an understanding of Google products"
357,Manage growth via gift card sales in third-party retail channels including physical and digital retailers. Manage integrator/service provider relationship to distribute gift cards internationally and develop strategic relationships with large physical and digital retailers to grow the gift card business. Develop and implement promotional strategies to drive cost-effective promotion of gift cards and agree on co-marketing terms. Manage the creation and development of in-store marketing assets. Analyze data across merchants and products and promotions and other variables to optimize performance. Work with cross-functional teams to ensure timely and cost-effective supply of physical gift card inventory to retail.,"Experience within the mobile gaming industry, Experience with retail promotions and account development"
358,Partner with Field Sales teams early in the sales cycle to manage proposal development and shape strategic agreements. Engage directly with business customers to lead commercial and agreement discussions; independently handle objections and socialize customer requests with internal stakeholders and coordinate approvals. Serve as the Commercial Operations business partner to Regional Sales and Sales Operations Management and attending forecast calls and staff meetings and quarterly business reviews to keep apprised of priorities. Build productive relationships and feedback loops with Legal and Finance and Sales and Product teams to accelerate agreement closure and drive continuous process improvement.,"Experience developing complex agreement structures and using presentation software to facilitate communication with internal and external stakeholders, Ability to lead and handle multiple timesensitive projects"
359,Become the Lead Trainer for our business courses and which involves working closely with the curriculum team on content development and enhancement. Deliver engaging training experiences to diverse audiences (e.g. large global Systems Integrators and small born in the cloud partners and Googlers etc). Evaluate and coach Trainers in our internal and external networks who have been authorized to give Business training. Work with the Training operations team and other teams as required to ensure optimal training experiences for your audiences. Participate in marketing and other executive level events focused on the business benefits of Google Cloud.,"Google Cloud Platform Architect Certification or equivalent, Experience providing training to a diverse set of customers, Comfortable working in a fast growing and dynamic and sometimes ambiguous environment"
360,Define customer-centric and industry-specific use cases. Build ecosystem of service partners for Google’s cloud infrastructure offerings and Google SaaS offerings. Establish partner performance criteria and drive partners to support Google business through staff training and certification on Google Cloud and G Suite products. Develop Google reference architectures and solutions. Help partners grow their practice and product portfolio through joint development of solutions and services. Develop and provide custom presentations on Google Cloud Platform technologies to partners to help them achieve strategic goals. Advocate for Google’s strategy in key industry events. Develop Google’s approach to partnership strategy with stakeholders in Partner Programs and Product Management and Engineering and Sales and Marketing. Support regional engagement with global and regional partners.,"Industry knowledge of System Integrators (SIs)/Service Providers (SPs) and Independent Software Vendors (ISVs). Knowledge of Cloud ecosystem, Demonstrated interpersonal skills when working in a crossfunctional organization, Excellent written and oral communication skills"
361,Project manage ‘virtual’ AM teams and promote best-practice sharing and alignment between markets. Develop strategic account plans for customers and identify growth opportunities. Represent team activities in EMEA/Global meetings (internal and/or external) and update stakeholders on the status of projects. Create relationships within customer organisations at all levels including senior executives and direct/indirect users of the product and decision makers. Be the primary point of contact for customers around all key areas (training and product enhancement and global/regional campaigns) and lead cross-functional efforts to identify and solve business challenges.,"Demonstrated strategic and analytical sales approach with a record of building strong and lasting customer relationships, Wellorganized and analytical and capable of handling multiple ad hoc requests simultaneously, Effective organizational and analytical and influencing and presentation skills"
362,Turn ambiguous data reporting and optimization needs into automated or scalable solution to drive operational efficiency and and reduce manual effort by GPSE. Contribute proactively to the analysis and optimization of processes and internal tools and product to drive efficiency and scale. Share findings and methodologies and timelines with a diverse and cross-functional audience to validate the work and ensure business needs are met. Design and lead work streams to deploy refined workflows and tools or processes to all affected teams (e.g. our team and end users and cross-functional partners) with high impact and operational efficiency gains. Establish and lead Subject Matter Expertise (SME) with extensive cross-functional stakeholder management and deep engagement.,"Experience using one monetization and/ or ad serving solution (DoubleClick AdExchange and AdSense and DoubleClick for Publishers and or other solutions), Ability to build strong relationships and work effectively crossfunctionally, Selfmotivated and comfortable operating in a rapidly changing and largely undefined industry, Extremely proactive and organized and responsible and and proven ability to work well with a team"
363,Build and maintain executive relationships with customers and influence long-term strategic direction and and act as a trusted advisor. Lead account strategy in generating and developing business growth opportunities and working collaboratively with Inside Sales Representatives and Customer Engineers and and Google Partners to maximize business results in territory and open up opportunities with large enterprise customers. Drive business development and forecast accurately and achieve strategic goals by leading customers through the entire business cycle. Explore and understand complex customer requirements on both a business and technical level; Engage and educate and and ensure satisfaction of the installed base. Manage multiple opportunities through the entire cycle simultaneously and working with cross-functional teams as necessary and and serve as the primary customer contact for all adoption-related activities.,"years of experience selling Platform/InfrastructureasaService (PaaS/IaaS) with experience working towards strategic business goals in the technology industry, Ability to build influential relationships and deliver results in a crossfunctional environment, Ability to effectively operate with flexibility in a fastpaced and dynamic team environment"
364,Work with Google’s largest customers on projects that help them improve their mobile websites - in order to offer their users a better experience and increase their mobile ROI Consult our advertisers on how to make their mobile sites load faster and improve the User Experience (UX) using tools like Lighthouse and WebPageTest and Google’s UX and speed research findings. Help our advertisers understand how Next Generation mobile web technologies from Google can improve their mobile site - from Accelerated Mobile Pages (AMP) to Progressive Web Apps (PWA) to our Payments and Identity APIs etc. Partner with Google's tech support teams to leverage technical support for our most advanced advertisers. Successfully manage these cross-functional projects to speed up the implementation progress and increase the success rate. Develop relations with both regional and global product management teams at Google to roll out best-in-class products to your country. Collate advertiser feedback in order to further improve our products. Organize mobile site events and incl. hackathons and workshops. Train advertisers and agencies on mobile site speed and UX and technologies; develop case studies of successful projects for publication on our Think with Google site and at events to scale best practices to the wider industry.,"Extensive experience working with large clients and partners across different levels and crossfunctional stakeholders, Experience with Next Generation mobile web technologies like Accelerated Mobile Pages (AMP) and Progressive Web Apps (PWA) and Payments APIs and Identity APIs and https and interest in the next wave of digital touchpoints (Voice and Google Assistant), Understanding of mobile web development (HTML and CSS and JavaScript experience), Demonstrated ability to influence in regards to mobile and to drive tangible impact for large corporate organizations, Passion for a faster and better mobile Web"
365,Source and structure and build relationships to increase penetration of Google advertising services among local businesses. Recruit and onboard new Channel Partners and Lead complex negotiations with top partners. Provide strategic analysis for each new partner’s business growth potential. Provide strategic recommendations for maintaining and improving partner performance and new product integrations. Build key relationships with C-level individuals and manage internal approvals processes. Interact with internal executives from relevant functions (e.g. Product and Engineering and Legal and Operations and Finance).,"Experience in partnerships involving product integrations, Strong analytical and financial modeling skills. Demonstrated ability to think strategically about complex issues and develop thoughtful recommendations and action plans, Proven track record of handling complex negotiations with multiple stakeholders"
366,Manage and strengthen executive-level agency relations through key meetings and business reviews and speaking engagements. Deliver business growth and engagement and client satisfaction for a portfolio of GMS-managed agencies in an assigned market. Recruit and retain and lead the team of GMS Sales Development Managers and Account Strategists and to ensure improved same-store-growth and high agency satisfaction and enhanced portfolio health. Coach a team and help them engage with stakeholders in GMS agencies. Build and actively manage effective long-term agency planning process. Define the future of agency management and help to develop the necessary infrastructure and processes. Initiate and run strategic initiatives to further develop new and existing GMS agency business. Work closely with other agency leads and the new business sales teams to align on Objectives and Key Results (OKRs). Partner with New Business Sales teams to define a list of potential prospects and including both new and existing accounts.,"Experience in building relationships with internal and external stakeholders, Ability to travel up to % of the time"
368,Engage with prospect organizations to position Google Cloud Platform solutions through strategic value based solution proposals and references and analyst data. Work with wider Google AdWords and Google Cloud account teams to develop and drive pipeline and and provide guidance. Work with Google Cloud Platform partners to develop campaigns. Serve as the primary customer contact during bid submission and pilot test and legal review and procurement. Keep records of customer interactions and provide quarterly projections. Build a pipeline of customers within selected verticals. Leverage Google Sales Engineering and marketing resources and and provide input on current collateral materials and ideas on how to improve them.,"Experience building and cultivating lasting relationships with accounts, Demonstrated ability to meet and exceed strategic goals in a fastpaced environment, Ability to engage with both developer audiences as well as Clevel IT and business leaders"
369,Communicate with customers proactively and via phone and email. Provide strategic advice and help customers by working closely with them in a consultative role. Implement creative ways to improve our customer relationships. Tailor and share online marketing strategy suggestions and and promote other Google products. Deliver against strategic goals consistently and while prioritizing and delivering an outstanding customer sales experience to Google's advertisers.,"Experience in leading and motivating and working well with others. Demonstrated bias toward teamwork and collaboration, Interest in working toward strategic goals"
370,Build relationships with potential partners and managing complex strategic partnerships that are often first-of-its-kind to deliver results and and build long-term partner relationships. Drive and execute distribution for NBU products and services. Identify and prioritize potential partners to become an expert in delivering quality service. Build and nurture relationships with third parties and working directly with partners through “one-to-many” models to reach large partner ecosystems.,"Experience working with Clevel executives and fostering relationships with commerce and financial technology partners across India, Ability to interpret legal documents and work with attorneys on specific agreement language. Understanding of and and relationships within financial technology and commerce and distribution sectors, Ability to provide support for partners and including resolving technical and contractual and payment challenges"
371,Communicate with customers proactively and via phone and email. Provide strategic advice and help customers by working closely with them in a consultative role. Implement creative ways to improve our customer relationships. Tailor and share online marketing strategy suggestions and and promote other Google products. Deliver against strategic goals consistently and while prioritizing and delivering an outstanding customer experience for Google's advertisers.,"Experience in leading and motivating and working well with others. Demonstrated bias toward teamwork and collaboration, Interest in working toward strategic goals"
373,Design and implement innovative and unique and robust analyses across internal and external data sources to understand consumer behavior and media consumption and advertising effectiveness. Distill complex data into simple concepts and combining your technical and analytical skills with a curiosity and passion for storytelling and marketing. Collaborate with other analytical and research teams across Google to ensure Market Insights stays abreast of relevant work being done in other parts of the organization. Work with appropriate product/technical teams across Google products to push the limits of what’s possible with our current data sets. Work with the EMEA Large Advertiser and Agency Marketing (LAAM) team to support their narratives and generate insights for marketing materials and events.,"Experience in consumer insights or advertising effectiveness research and expertise with a wide variety of methodologies, Experience in communicating the outcomes of complex analyses to nontechnical audiences, Interest in online advertising and digital media consumption patterns and branding measurement"
374,Collaborate with Sales and Customer Engineering management to determine proper territory coverage and staffing levels to support partner technical enablement activities. Develop job requisitions and assemble candidate pool and lead interviews. Assess PSE team’s go-to-market readiness and identify gaps in PSE preparedness and and build plans to ensure the PSE team is properly trained and equipped to successfully perform in support of strategic goals. Work with Google Cloud Partners leadership to identify and qualify and and prioritize joint market opportunities. Participate in periodic business plan review meetings providing insight into how to best achieve strategic goals. Work with the sales account and customer support and product management and customer solutions and and engineering teams to resolve product problems affecting pre- and post-sales partner satisfaction. Travel as required to visit partners/customers across a defined geographic territory.,"Demonstrated knowledge of Big Data and PaaS and SaaS and IaaS and public cloud and and related industry and technical concepts, Ability craft compelling messaging and to tailor it for a given audience. Ability to mix deep technical expertise with simple and everyday language to deliver a story that is memorable and useful"
